,UF,PA_MUNPCN,PA_CMP,PA_QTDPRO,PA_QTDAPR
0,RS,110000,202410,2,2
1,RS,110010,202206,1,1
2,RS,110010,202208,2,2
3,RS,110012,202401,1,1
4,RS,110020,202307,5,5
5,RS,110030,202203,4,4
6,RS,110030,202206,1,1
7,RS,110140,202201,1,1
8,RS,110140,202202,1,1
9,RS,110140,202203,5,5
10,RS,110140,202204,17,17
11,RS,110140,202205,1,1
12,RS,110140,202207,1,1
13,RS,110140,202208,2,2
14,RS,110140,202209,10,10
15,RS,110140,202210,2,2
16,RS,110140,202211,1,1
17,RS,110140,202212,4,4
18,RS,110140,202301,2,2
19,RS,110140,202302,17,17
20,RS,110140,202305,8,8
21,RS,110140,202308,2,2
22,RS,110140,202401,2,2
23,RS,110140,202403,1,1
24,RS,110140,202406,2,2
25,RS,110140,202409,6,6
26,RS,120040,202208,3,3
27,RS,120040,202302,1,1
28,RS,120040,202303,1,1
29,RS,120040,202307,1,1
30,RS,130060,202202,3,3
31,RS,130170,202203,1,1
32,RS,130170,202312,3,3
33,RS,130170,202407,3,2
34,RS,130170,202409,1,1
35,RS,130380,202409,1,1
36,RS,130406,202404,1,1
37,RS,130440,202307,2,2
38,RS,130440,202312,1,1
39,RS,140010,202209,3,3
40,RS,140010,202406,1,1
41,RS,140045,202402,1,1
42,RS,150140,202208,1,1
43,RS,150840,202302,1,1
44,RS,160015,202307,2,2
45,RS,170410,202201,1,1
46,RS,171200,202408,1,1
47,RS,172049,202301,2,2
48,RS,172100,202412,1,1
49,RS,210140,202304,1,0
50,RS,210300,202302,1,1
51,RS,210300,202303,5,5
52,RS,210300,202305,11,11
53,RS,210300,202308,3,3
54,RS,210320,202210,2,2
55,RS,210520,202412,2,2
56,RS,210540,202303,1,1
57,RS,210750,202209,2,2
58,RS,210860,202301,3,3
59,RS,211020,202209,3,3
60,RS,220390,202206,1,1
61,RS,220795,202111,1,1
62,RS,220795,202201,19,19
63,RS,220795,202206,2,2
64,RS,220795,202207,7,7
65,RS,220795,202208,5,5
66,RS,220795,202209,15,15
67,RS,220795,202304,4,4
68,RS,220795,202306,2,2
69,RS,220795,202401,1,1
70,RS,220795,202406,1,1
71,RS,230440,202211,4,3
72,RS,230560,202307,1,1
73,RS,230560,202308,3,3
74,RS,230560,202402,1,1
75,RS,230560,202403,1,1
76,RS,230560,202408,2,2
77,RS,230560,202409,2,1
78,RS,230560,202410,3,3
79,RS,230945,202410,1,1
80,RS,231120,202402,1,1
81,RS,240170,202205,1,1
82,RS,240170,202306,1,1
83,RS,241250,202303,2,2
84,RS,241250,202404,1,1
85,RS,241250,202408,1,1
86,RS,241250,202412,6,5
87,RS,241480,202306,1,1
88,RS,250360,202301,1,1
89,RS,250400,202412,1,1
90,RS,250570,202411,1,1
91,RS,250600,202208,3,3
92,RS,250600,202305,1,1
93,RS,251370,202210,1,1
94,RS,251610,202201,2,2
95,RS,251610,202202,2,2
96,RS,251610,202212,1,1
97,RS,251610,202301,1,1
98,RS,251610,202302,2,2
99,RS,251610,202303,1,1
100,RS,251610,202304,1,1
101,RS,251610,202307,1,1
102,RS,251610,202309,1,1
103,RS,251610,202310,1,1
104,RS,251610,202401,1,1
105,RS,251610,202408,1,1
106,RS,251610,202409,2,2
107,RS,251610,202410,1,1
108,RS,251610,202412,2,1
109,RS,251660,202203,16,16
110,RS,251660,202204,12,12
111,RS,251660,202303,2,2
112,RS,251680,202207,1,1
113,RS,251680,202212,1,1
114,RS,251680,202311,1,1
115,RS,251680,202408,1,1
116,RS,260310,202209,1,1
117,RS,260600,202401,1,1
118,RS,260790,202412,2,1
119,RS,261160,202212,1,1
120,RS,261570,202205,2,2
121,RS,261570,202210,2,2
122,RS,261570,202301,3,3
123,RS,261570,202307,1,1
124,RS,261570,202309,3,3
125,RS,261570,202312,1,1
126,RS,261570,202407,2,2
127,RS,261570,202411,1,1
128,RS,261640,202211,4,4
129,RS,261640,202301,1,1
130,RS,261640,202305,2,2
131,RS,261640,202312,1,1
132,RS,270915,202312,2,2
133,RS,290070,202207,1,1
134,RS,290490,202201,2,2
135,RS,290490,202204,7,7
136,RS,290490,202411,1,1
137,RS,290830,202305,1,1
138,RS,290830,202310,1,1
139,RS,291072,202202,12,12
140,RS,291072,202203,4,4
141,RS,291072,202206,2,2
142,RS,291072,202208,2,2
143,RS,291072,202209,16,16
144,RS,291072,202211,2,2
145,RS,291072,202212,3,3
146,RS,291072,202301,3,3
147,RS,291220,202408,1,1
148,RS,291670,202207,11,11
149,RS,291670,202303,4,4
150,RS,291670,202406,1,1
151,RS,291670,202408,2,2
152,RS,291840,202203,3,3
153,RS,291955,202303,2,2
154,RS,292070,202203,2,2
155,RS,292070,202210,3,3
156,RS,292070,202302,1,1
157,RS,292070,202305,6,6
158,RS,292070,202306,2,2
159,RS,292070,202307,1,1
160,RS,292070,202308,1,1
161,RS,292070,202409,3,3
162,RS,292070,202411,2,2
163,RS,292070,202412,2,2
164,RS,292500,202212,1,1
165,RS,292530,202201,1,1
166,RS,292740,202209,1,1
167,RS,292750,202211,1,1
168,RS,292895,202306,5,5
169,RS,292895,202307,1,1
170,RS,292895,202309,3,3
171,RS,292895,202311,1,1
172,RS,292895,202404,1,1
173,RS,292925,202201,1,1
174,RS,292925,202202,2,2
175,RS,293077,202204,1,1
176,RS,293077,202207,1,1
177,RS,293077,202212,1,1
178,RS,293077,202305,3,3
179,RS,293077,202407,2,2
180,RS,293077,202410,1,1
181,RS,310240,202204,4,4
182,RS,310510,202401,2,2
183,RS,310680,202402,1,1
184,RS,311150,202211,3,3
185,RS,311860,202204,1,0
186,RS,313130,202411,1,1
187,RS,313170,202412,3,3
188,RS,313670,202204,1,1
189,RS,313670,202210,2,2
190,RS,313670,202312,4,4
191,RS,313790,202412,2,2
192,RS,316120,202203,1,1
193,RS,316120,202210,1,1
194,RS,316120,202212,1,1
195,RS,316120,202311,1,1
196,RS,316120,202407,2,2
197,RS,316120,202410,1,1
198,RS,316245,202310,1,1
199,RS,316292,202402,1,1
200,RS,316370,202208,1,1
201,RS,317020,202205,1,1
202,RS,317020,202210,1,1
203,RS,317070,202202,1,1
204,RS,320490,202412,1,1
205,RS,320500,202202,2,2
206,RS,320500,202210,2,2
207,RS,320510,202307,1,1
208,RS,320520,202208,1,1
209,RS,330000,202405,1,1
210,RS,330000,202412,13,13
211,RS,330250,202401,1,1
212,RS,330350,202210,1,1
213,RS,330390,202211,1,1
214,RS,330390,202312,5,5
215,RS,330455,202203,2,2
216,RS,330455,202206,3,3
217,RS,330455,202210,8,8
218,RS,330455,202211,8,8
219,RS,330455,202301,2,2
220,RS,330455,202302,2,2
221,RS,330455,202405,1,1
222,RS,330455,202406,1,1
223,RS,330540,202203,1,1
224,RS,330540,202204,1,1
225,RS,330540,202311,1,1
226,RS,330540,202403,1,1
227,RS,330540,202407,2,2
228,RS,350240,202206,3,3
229,RS,350570,202401,1,1
230,RS,350600,202202,21,1
231,RS,350600,202205,10,0
232,RS,350850,202208,1,1
233,RS,350850,202408,1,1
234,RS,350960,202308,1,1
235,RS,351040,202303,1,1
236,RS,351040,202307,1,1
237,RS,351170,202211,1,1
238,RS,351380,202306,1,1
239,RS,351480,202308,6,6
240,RS,351518,202209,3,3
241,RS,351518,202301,1,1
242,RS,352240,202212,1,1
243,RS,352250,202305,1,1
244,RS,352400,202209,1,1
245,RS,352440,202210,2,2
246,RS,352470,202307,6,6
247,RS,352590,202309,1,1
248,RS,353200,202204,13,13
249,RS,353960,202304,1,1
250,RS,353980,202112,1,1
251,RS,353980,202206,1,1
252,RS,353980,202303,2,2
253,RS,354270,202210,1,1
254,RS,354270,202305,1,1
255,RS,354270,202308,1,1
256,RS,354270,202309,7,7
257,RS,354330,202202,2,2
258,RS,354330,202210,7,7
259,RS,354330,202301,3,3
260,RS,354330,202308,2,2
261,RS,354330,202401,1,1
262,RS,354340,202412,1,1
263,RS,354500,202208,2,2
264,RS,354780,202201,1,1
265,RS,354780,202202,1,1
266,RS,354780,202205,4,4
267,RS,354780,202206,11,11
268,RS,354780,202207,4,4
269,RS,354780,202208,5,5
270,RS,354780,202209,4,4
271,RS,354780,202210,2,2
272,RS,354780,202211,2,2
273,RS,354780,202212,2,2
274,RS,354780,202301,19,19
275,RS,354780,202304,1,1
276,RS,354780,202305,1,1
277,RS,354780,202312,2,2
278,RS,354780,202407,1,1
279,RS,354780,202408,6,6
280,RS,354780,202410,3,3
281,RS,354780,202412,3,3
282,RS,354850,202209,2,2
283,RS,354870,202203,1,1
284,RS,354870,202208,7,7
285,RS,354870,202209,1,1
286,RS,354870,202211,1,1
287,RS,354870,202306,3,3
288,RS,354870,202307,1,1
289,RS,354870,202312,2,2
290,RS,354870,202407,4,4
291,RS,354870,202408,3,3
292,RS,354870,202412,1,1
293,RS,354880,202206,13,13
294,RS,354880,202301,2,2
295,RS,354880,202304,1,1
296,RS,354880,202305,1,1
297,RS,354880,202406,1,1
298,RS,354880,202407,1,1
299,RS,354880,202410,4,4
300,RS,354890,202308,1,1
301,RS,354990,202206,2,2
302,RS,354990,202301,1,1
303,RS,355030,202204,3,3
304,RS,355030,202205,2,2
305,RS,355030,202206,4,4
306,RS,355030,202207,4,4
307,RS,355030,202208,5,5
308,RS,355030,202209,4,4
309,RS,355030,202210,4,4
310,RS,355030,202211,6,6
311,RS,355030,202302,3,3
312,RS,355030,202303,2,2
313,RS,355030,202306,3,3
314,RS,355030,202312,1,1
315,RS,355030,202408,1,1
316,RS,355030,202412,4,1
317,RS,355280,202401,1,1
318,RS,355410,202409,1,1
319,RS,355660,202203,1,1
320,RS,355660,202206,1,1
321,RS,355660,202209,1,1
322,RS,355660,202301,1,1
323,RS,410000,202201,11,11
324,RS,410000,202202,1,1
325,RS,410000,202204,2,2
326,RS,410000,202207,3,3
327,RS,410000,202210,2,2
328,RS,410000,202211,2,2
329,RS,410000,202212,3,3
330,RS,410000,202302,3,3
331,RS,410000,202304,2,2
332,RS,410000,202307,1,1
333,RS,410000,202312,1,1
334,RS,410000,202401,1,1
335,RS,410000,202402,1,1
336,RS,410000,202409,1,1
337,RS,410000,202412,4,4
338,RS,410040,202210,1,1
339,RS,410150,202306,1,1
340,RS,410180,202201,1,1
341,RS,410370,202209,4,4
342,RS,410370,202211,4,4
343,RS,410480,202204,4,4
344,RS,410480,202206,1,1
345,RS,410480,202308,1,1
346,RS,410590,202204,1,1
347,RS,410590,202301,1,1
348,RS,410590,202306,2,1
349,RS,410690,202201,1,1
350,RS,410690,202202,2,2
351,RS,410690,202205,1,1
352,RS,410690,202302,12,12
353,RS,410690,202309,5,5
354,RS,410690,202312,2,2
355,RS,410690,202408,3,3
356,RS,410690,202411,1,1
357,RS,410765,202301,3,3
358,RS,410840,202409,1,1
359,RS,410840,202412,1,1
360,RS,411120,202406,1,1
361,RS,411210,202404,2,2
362,RS,411460,202407,3,2
363,RS,411510,202205,14,14
364,RS,411510,202206,1,1
365,RS,411510,202211,1,1
366,RS,411510,202309,1,1
367,RS,411580,202210,1,1
368,RS,411745,202211,2,2
369,RS,411790,202408,1,1
370,RS,411820,202409,2,2
371,RS,411990,202201,1,1
372,RS,411990,202209,7,6
373,RS,411990,202211,1,1
374,RS,411990,202301,2,2
375,RS,411990,202307,10,10
376,RS,411990,202409,4,4
377,RS,412090,202208,3,3
378,RS,412090,202212,13,13
379,RS,412090,202409,7,7
380,RS,412170,202304,1,1
381,RS,412170,202306,1,0
382,RS,412170,202407,3,3
383,RS,412170,202412,1,1
384,RS,412230,202404,4,4
385,RS,412350,202212,28,28
386,RS,412402,202201,4,4
387,RS,412470,202412,1,1
388,RS,412480,202301,1,1
389,RS,412625,202112,1,0
390,RS,412625,202201,8,8
391,RS,412625,202206,2,1
392,RS,412625,202207,2,2
393,RS,412625,202208,1,1
394,RS,412625,202211,3,3
395,RS,412625,202212,2,2
396,RS,412625,202301,3,3
397,RS,412625,202302,1,1
398,RS,412625,202303,4,2
399,RS,412625,202305,2,2
400,RS,412625,202311,1,1
401,RS,412625,202312,2,2
402,RS,412625,202412,3,3
403,RS,412680,202211,1,1
404,RS,412680,202302,1,1
405,RS,412680,202306,1,1
406,RS,412680,202409,3,3
407,RS,412770,202412,1,1
408,RS,420050,202203,1,1
409,RS,420130,202201,1,1
410,RS,420140,202201,12,12
411,RS,420140,202202,2,2
412,RS,420140,202203,1,1
413,RS,420140,202204,1,1
414,RS,420140,202206,2,2
415,RS,420140,202207,1,1
416,RS,420140,202208,11,11
417,RS,420140,202209,3,3
418,RS,420140,202210,2,2
419,RS,420140,202212,1,1
420,RS,420140,202302,2,0
421,RS,420140,202303,3,3
422,RS,420140,202304,2,2
423,RS,420140,202305,2,2
424,RS,420140,202306,1,1
425,RS,420140,202308,1,1
426,RS,420140,202312,1,1
427,RS,420140,202402,1,1
428,RS,420140,202403,2,2
429,RS,420140,202408,1,1
430,RS,420140,202409,10,10
431,RS,420140,202410,1,1
432,RS,420140,202411,1,1
433,RS,420165,202203,2,2
434,RS,420165,202302,1,1
435,RS,420195,202203,15,15
436,RS,420195,202205,1,1
437,RS,420195,202206,7,7
438,RS,420195,202211,1,1
439,RS,420195,202302,27,27
440,RS,420195,202306,2,2
441,RS,420195,202307,4,4
442,RS,420195,202404,1,1
443,RS,420195,202407,6,6
444,RS,420195,202408,1,1
445,RS,420195,202412,11,11
446,RS,420200,202304,1,1
447,RS,420200,202401,1,1
448,RS,420200,202405,1,1
449,RS,420200,202411,1,1
450,RS,420207,202202,19,19
451,RS,420207,202206,1,1
452,RS,420207,202210,15,15
453,RS,420207,202301,16,16
454,RS,420207,202302,4,2
455,RS,420207,202304,2,2
456,RS,420207,202309,7,7
457,RS,420207,202312,1,1
458,RS,420207,202407,1,1
459,RS,420240,202301,4,4
460,RS,420240,202401,1,1
461,RS,420240,202411,2,1
462,RS,420250,202407,1,1
463,RS,420253,202306,1,1
464,RS,420253,202312,1,1
465,RS,420320,202201,3,3
466,RS,420320,202203,1,1
467,RS,420320,202204,2,2
468,RS,420320,202205,1,1
469,RS,420320,202212,2,2
470,RS,420325,202407,1,1
471,RS,420360,202204,1,1
472,RS,420360,202408,1,1
473,RS,420370,202212,2,2
474,RS,420395,202208,1,1
475,RS,420419,202202,1,1
476,RS,420419,202203,2,2
477,RS,420419,202308,1,1
478,RS,420419,202401,1,1
479,RS,420420,202203,4,4
480,RS,420420,202211,3,2
481,RS,420420,202307,4,3
482,RS,420420,202311,1,1
483,RS,420420,202409,8,5
484,RS,420430,202202,1,1
485,RS,420460,202201,1,1
486,RS,420460,202204,1,1
487,RS,420460,202207,2,2
488,RS,420460,202301,1,1
489,RS,420460,202302,2,2
490,RS,420460,202305,1,1
491,RS,420460,202308,2,2
492,RS,420460,202310,3,2
493,RS,420460,202312,1,1
494,RS,420460,202401,3,3
495,RS,420460,202410,1,1
496,RS,420470,202201,2,2
497,RS,420470,202212,1,1
498,RS,420470,202301,1,1
499,RS,420470,202312,1,1
500,RS,420480,202409,1,1
501,RS,420540,202204,5,5
502,RS,420540,202205,4,4
503,RS,420540,202206,14,14
504,RS,420540,202207,3,3
505,RS,420540,202208,3,3
506,RS,420540,202210,4,4
507,RS,420540,202211,4,4
508,RS,420540,202212,13,13
509,RS,420540,202301,7,7
510,RS,420540,202302,3,3
511,RS,420540,202304,4,4
512,RS,420540,202305,1,1
513,RS,420540,202306,2,0
514,RS,420540,202307,2,2
515,RS,420540,202308,1,1
516,RS,420540,202312,4,4
517,RS,420540,202401,4,4
518,RS,420540,202403,5,5
519,RS,420540,202404,1,1
520,RS,420540,202407,4,4
521,RS,420540,202410,1,1
522,RS,420540,202411,1,1
523,RS,420545,202312,1,1
524,RS,420570,202208,4,4
525,RS,420570,202305,3,3
526,RS,420570,202408,1,1
527,RS,420590,202412,6,5
528,RS,420650,202404,1,1
529,RS,420670,202411,2,2
530,RS,420700,202202,1,1
531,RS,420700,202204,3,3
532,RS,420700,202302,3,3
533,RS,420700,202403,1,1
534,RS,420710,202207,1,1
535,RS,420730,202204,4,4
536,RS,420730,202407,1,1
537,RS,420730,202412,1,1
538,RS,420750,202205,2,2
539,RS,420750,202304,1,1
540,RS,420750,202309,1,1
541,RS,420765,202403,1,1
542,RS,420820,202208,4,4
543,RS,420820,202212,1,1
544,RS,420820,202302,3,3
545,RS,420820,202401,2,2
546,RS,420820,202409,1,1
547,RS,420820,202411,1,1
548,RS,420830,202201,3,3
549,RS,420830,202204,1,1
550,RS,420830,202211,5,5
551,RS,420830,202305,2,1
552,RS,420830,202307,1,0
553,RS,420830,202312,2,2
554,RS,420830,202407,1,1
555,RS,420830,202412,2,2
556,RS,420840,202311,2,2
557,RS,420880,202408,1,1
558,RS,420880,202410,1,1
559,RS,420910,202201,2,2
560,RS,420910,202202,5,5
561,RS,420910,202206,7,7
562,RS,420910,202304,1,1
563,RS,420910,202404,1,1
564,RS,420910,202409,10,10
565,RS,420910,202412,4,4
566,RS,420930,202211,1,1
567,RS,420930,202306,1,1
568,RS,420930,202404,2,2
569,RS,420930,202407,3,3
570,RS,420930,202410,1,1
571,RS,420930,202412,1,1
572,RS,420940,202204,13,13
573,RS,420940,202309,1,1
574,RS,420940,202402,1,1
575,RS,420985,202310,1,1
576,RS,421010,202206,12,12
577,RS,421050,202206,3,3
578,RS,421050,202211,2,2
579,RS,421050,202403,1,1
580,RS,421080,202201,17,17
581,RS,421080,202202,14,14
582,RS,421080,202204,17,17
583,RS,421080,202205,2,2
584,RS,421080,202206,6,6
585,RS,421080,202208,4,4
586,RS,421080,202209,4,4
587,RS,421080,202210,2,2
588,RS,421080,202211,6,6
589,RS,421080,202212,18,18
590,RS,421080,202301,21,21
591,RS,421080,202303,5,5
592,RS,421080,202305,3,3
593,RS,421080,202306,4,4
594,RS,421080,202307,8,8
595,RS,421080,202308,1,1
596,RS,421080,202312,1,1
597,RS,421080,202401,1,1
598,RS,421080,202409,8,8
599,RS,421080,202412,3,3
600,RS,421130,202401,2,2
601,RS,421130,202405,2,2
602,RS,421150,202401,2,2
603,RS,421170,202301,1,1
604,RS,421190,202207,2,2
605,RS,421190,202210,5,5
606,RS,421190,202301,14,14
607,RS,421190,202303,1,1
608,RS,421190,202309,1,1
609,RS,421190,202401,1,1
610,RS,421223,202408,1,1
611,RS,421225,202203,1,1
612,RS,421225,202205,1,1
613,RS,421225,202206,16,16
614,RS,421225,202207,5,5
615,RS,421225,202208,12,12
616,RS,421225,202209,1,1
617,RS,421225,202211,3,3
618,RS,421225,202301,2,2
619,RS,421225,202302,1,1
620,RS,421225,202303,5,5
621,RS,421225,202304,3,3
622,RS,421225,202305,1,1
623,RS,421225,202306,8,8
624,RS,421225,202307,2,2
625,RS,421225,202309,1,1
626,RS,421225,202312,1,1
627,RS,421225,202409,17,17
628,RS,421225,202411,5,5
629,RS,421270,202410,1,1
630,RS,421320,202211,1,1
631,RS,421350,202201,2,2
632,RS,421350,202202,2,2
633,RS,421350,202204,2,2
634,RS,421350,202206,27,27
635,RS,421350,202207,1,1
636,RS,421350,202209,2,2
637,RS,421350,202211,3,3
638,RS,421350,202212,13,13
639,RS,421350,202301,3,3
640,RS,421350,202302,3,3
641,RS,421350,202303,3,3
642,RS,421350,202305,8,8
643,RS,421350,202306,1,1
644,RS,421350,202307,6,6
645,RS,421350,202312,3,3
646,RS,421350,202401,3,3
647,RS,421350,202407,1,1
648,RS,421350,202408,4,4
649,RS,421350,202409,7,7
650,RS,421350,202411,1,1
651,RS,421350,202412,3,3
652,RS,421380,202205,4,4
653,RS,421380,202208,2,2
654,RS,421380,202209,1,1
655,RS,421380,202211,17,17
656,RS,421380,202401,1,1
657,RS,421380,202406,1,1
658,RS,421480,202302,13,13
659,RS,421480,202411,1,1
660,RS,421550,202311,1,1
661,RS,421569,202407,2,2
662,RS,421569,202408,1,1
663,RS,421570,202305,1,1
664,RS,421610,202203,1,0
665,RS,421620,202203,1,1
666,RS,421620,202412,1,1
667,RS,421640,202305,1,1
668,RS,421640,202307,1,1
669,RS,421650,202201,1,1
670,RS,421650,202210,2,2
671,RS,421650,202211,1,1
672,RS,421650,202307,1,1
673,RS,421660,202210,2,2
674,RS,421660,202211,1,1
675,RS,421660,202212,1,1
676,RS,421660,202303,1,1
677,RS,421710,202201,3,3
678,RS,421710,202204,2,2
679,RS,421710,202205,1,1
680,RS,421710,202208,1,1
681,RS,421710,202210,3,3
682,RS,421710,202211,1,1
683,RS,421710,202302,1,1
684,RS,421710,202306,2,2
685,RS,421710,202307,2,2
686,RS,421710,202309,1,1
687,RS,421710,202310,1,0
688,RS,421710,202311,3,2
689,RS,421710,202312,2,2
690,RS,421710,202401,3,2
691,RS,421710,202403,1,1
692,RS,421710,202405,1,1
693,RS,421710,202407,7,5
694,RS,421710,202409,3,3
695,RS,421720,202204,1,1
696,RS,421720,202206,1,1
697,RS,421720,202412,1,1
698,RS,421750,202211,2,2
699,RS,421750,202305,1,1
700,RS,421750,202401,2,2
701,RS,421750,202404,1,1
702,RS,421770,202201,1,1
703,RS,421770,202202,5,5
704,RS,421770,202203,1,1
705,RS,421770,202204,12,12
706,RS,421770,202205,2,2
707,RS,421770,202206,1,1
708,RS,421770,202208,4,4
709,RS,421770,202210,3,3
710,RS,421770,202211,3,2
711,RS,421770,202212,9,9
712,RS,421770,202302,1,1
713,RS,421770,202303,1,1
714,RS,421770,202304,1,1
715,RS,421770,202305,5,5
716,RS,421770,202308,1,1
717,RS,421770,202401,3,3
718,RS,421770,202402,1,1
719,RS,421770,202407,1,1
720,RS,421770,202408,2,2
721,RS,421770,202409,1,1
722,RS,421770,202410,1,1
723,RS,421770,202412,3,3
724,RS,421800,202202,3,3
725,RS,421800,202212,4,4
726,RS,421800,202303,1,1
727,RS,421800,202312,1,1
728,RS,421800,202412,2,2
729,RS,421810,202403,1,1
730,RS,421870,202309,1,0
731,RS,421870,202311,1,0
732,RS,421875,202302,4,4
733,RS,421880,202203,1,1
734,RS,421880,202206,1,1
735,RS,421880,202212,1,1
736,RS,421880,202407,1,1
737,RS,421900,202210,1,1
738,RS,421900,202211,2,2
739,RS,421970,202207,1,1
740,RS,430000,202201,10,10
741,RS,430000,202207,12,12
742,RS,430000,202301,14,14
743,RS,430000,202308,6,6
744,RS,430000,202405,2,2
745,RS,430000,202408,1,1
746,RS,430003,202201,61,61
747,RS,430003,202202,57,57
748,RS,430003,202203,60,60
749,RS,430003,202204,61,61
750,RS,430003,202205,61,61
751,RS,430003,202206,30,30
752,RS,430003,202207,92,92
753,RS,430003,202208,60,60
754,RS,430003,202209,91,91
755,RS,430003,202210,90,90
756,RS,430003,202211,91,91
757,RS,430003,202212,90,90
758,RS,430003,202301,60,60
759,RS,430003,202302,56,56
760,RS,430003,202304,120,120
761,RS,430003,202306,117,117
762,RS,430003,202307,90,90
763,RS,430003,202308,146,146
764,RS,430003,202309,7,7
765,RS,430003,202312,2,2
766,RS,430003,202401,96,96
767,RS,430003,202403,90,90
768,RS,430003,202404,1,1
769,RS,430003,202407,2,2
770,RS,430003,202410,164,164
771,RS,430003,202411,120,120
772,RS,430003,202412,183,183
773,RS,430005,202201,10,6
774,RS,430005,202202,9,9
775,RS,430005,202203,6,6
776,RS,430005,202204,5,5
777,RS,430005,202205,5,5
778,RS,430005,202206,3,3
779,RS,430005,202207,2,2
780,RS,430005,202208,6,6
781,RS,430005,202209,7,7
782,RS,430005,202210,15,15
783,RS,430005,202211,35,34
784,RS,430005,202212,4,4
785,RS,430005,202301,6,6
786,RS,430005,202302,7,7
787,RS,430005,202303,15,15
788,RS,430005,202304,6,5
789,RS,430005,202305,2,2
790,RS,430005,202306,24,23
791,RS,430005,202307,28,28
792,RS,430005,202308,5,5
793,RS,430005,202309,1,1
794,RS,430005,202312,25,25
795,RS,430005,202401,56,56
796,RS,430005,202402,19,19
797,RS,430005,202404,4,4
798,RS,430005,202406,26,0
799,RS,430005,202407,36,22
800,RS,430005,202408,7,7
801,RS,430005,202409,49,15
802,RS,430005,202410,24,16
803,RS,430005,202411,15,1
804,RS,430005,202412,5,5
805,RS,430010,202201,559,559
806,RS,430010,202202,246,246
807,RS,430010,202203,435,435
808,RS,430010,202204,400,400
809,RS,430010,202205,19,19
810,RS,430010,202206,12,12
811,RS,430010,202207,19,19
812,RS,430010,202208,13,13
813,RS,430010,202209,35,35
814,RS,430010,202210,39,39
815,RS,430010,202211,40,40
816,RS,430010,202212,28,28
817,RS,430010,202301,9,9
818,RS,430010,202302,37,37
819,RS,430010,202303,19,19
820,RS,430010,202304,682,682
821,RS,430010,202305,594,594
822,RS,430010,202306,607,606
823,RS,430010,202307,655,655
824,RS,430010,202308,623,623
825,RS,430010,202309,18,18
826,RS,430010,202310,5,5
827,RS,430010,202311,2,2
828,RS,430010,202312,4,4
829,RS,430010,202401,662,662
830,RS,430010,202402,2,2
831,RS,430010,202404,1,1
832,RS,430010,202405,3,3
833,RS,430010,202406,1,1
834,RS,430010,202407,14,10
835,RS,430010,202408,4,4
836,RS,430010,202409,35,34
837,RS,430010,202410,983,983
838,RS,430010,202411,1060,1060
839,RS,430010,202412,755,755
840,RS,430020,202201,94,64
841,RS,430020,202202,147,147
842,RS,430020,202203,137,137
843,RS,430020,202204,167,137
844,RS,430020,202205,176,146
845,RS,430020,202206,130,9
846,RS,430020,202207,159,11
847,RS,430020,202208,170,53
848,RS,430020,202209,197,167
849,RS,430020,202210,251,191
850,RS,430020,202211,267,207
851,RS,430020,202212,218,188
852,RS,430020,202301,190,130
853,RS,430020,202302,198,170
854,RS,430020,202303,2,2
855,RS,430020,202304,239,179
856,RS,430020,202305,184,154
857,RS,430020,202306,188,187
858,RS,430020,202307,12,12
859,RS,430020,202308,198,198
860,RS,430020,202309,4,4
861,RS,430020,202310,11,6
862,RS,430020,202311,69,65
863,RS,430020,202312,9,9
864,RS,430020,202401,232,230
865,RS,430020,202402,5,5
866,RS,430020,202403,130,127
867,RS,430020,202404,8,6
868,RS,430020,202405,2,0
869,RS,430020,202406,8,5
870,RS,430020,202407,42,24
871,RS,430020,202408,19,12
872,RS,430020,202409,10,4
873,RS,430020,202410,260,253
874,RS,430020,202411,135,130
875,RS,430020,202412,143,136
876,RS,430030,202112,8,8
877,RS,430030,202201,173,173
878,RS,430030,202202,125,125
879,RS,430030,202203,215,215
880,RS,430030,202204,154,154
881,RS,430030,202205,260,260
882,RS,430030,202206,184,184
883,RS,430030,202207,235,235
884,RS,430030,202208,245,215
885,RS,430030,202209,298,298
886,RS,430030,202210,281,281
887,RS,430030,202211,353,353
888,RS,430030,202212,283,283
889,RS,430030,202301,332,332
890,RS,430030,202302,338,338
891,RS,430030,202303,18,18
892,RS,430030,202304,142,142
893,RS,430030,202305,165,165
894,RS,430030,202306,189,189
895,RS,430030,202307,165,165
896,RS,430030,202308,153,150
897,RS,430030,202309,27,27
898,RS,430030,202310,2,2
899,RS,430030,202311,1,1
900,RS,430030,202312,5,4
901,RS,430030,202401,92,92
902,RS,430030,202402,4,4
903,RS,430030,202403,2,2
904,RS,430030,202404,1,1
905,RS,430030,202406,3,3
906,RS,430030,202407,9,9
907,RS,430030,202408,5,4
908,RS,430030,202409,2,2
909,RS,430030,202410,156,155
910,RS,430030,202411,121,121
911,RS,430030,202412,99,96
912,RS,430040,202201,834,833
913,RS,430040,202202,740,740
914,RS,430040,202203,817,814
915,RS,430040,202204,785,785
916,RS,430040,202205,95,95
917,RS,430040,202206,76,76
918,RS,430040,202207,937,937
919,RS,430040,202208,1140,1140
920,RS,430040,202209,32,32
921,RS,430040,202210,93,93
922,RS,430040,202211,47,47
923,RS,430040,202212,208,208
924,RS,430040,202301,172,149
925,RS,430040,202302,155,155
926,RS,430040,202303,54,54
927,RS,430040,202304,602,602
928,RS,430040,202305,646,646
929,RS,430040,202306,1463,1462
