,nome_municipio,area_desmatada,codigo_municipio,uf,ano
313,São José do Xingu,93.83,5107354,Mato Grosso,2008
314,Nova Olinda do Norte,6.19,1303106,Amazonas,2008
315,Pracuúba,5.11,1600550,Amapá,2008
316,Bom Jesus do Araguaia,14.46,5101852,Mato Grosso,2008
317,Santo Antônio do Içá,1.01,1303700,Amazonas,2008
318,Tabatinga,1.03,1304062,Amazonas,2008
319,Vitória do Xingu,10.51,1508357,Pará,2008
320,Campos de Júlio,0.63,5102686,Mato Grosso,2008
321,Aripuanã,80.37,5101407,Mato Grosso,2008
322,Alvorada D'Oeste,6.44,1100346,Rondônia,2008
323,Nova Ubiratã,140.18,5106240,Mato Grosso,2008
324,Cruzeiro do Sul,11.02,1200203,Acre,2008
325,Alta Floresta,15.32,5100250,Mato Grosso,2008
326,Faro,2.02,1503002,Pará,2008
327,Canarana,5.59,5102702,Mato Grosso,2008
328,Cachoeira do Arari,0.0,1502004,Pará,2008
329,Paraíso do Tocantins,0.0,1716109,Tocantins,2008
330,Primavera de Rondônia,1.06,1101476,Rondônia,2008
331,Cutias,2.34,1600212,Amapá,2008
332,Cacoal,4.61,1100049,Rondônia,2008
333,Piçarra,17.13,1505635,Pará,2008
334,Vitória do Jari,1.33,1600808,Amapá,2008
335,Porto Nacional,0.0,1718204,Tocantins,2008
336,Assis Brasil,3.42,1200054,Acre,2008
337,Planalto da Serra,1.17,5106455,Mato Grosso,2008
338,Colinas do Tocantins,0.28,1705508,Tocantins,2008
339,Colíder,8.38,5103205,Mato Grosso,2008
340,Sinop,47.38,5107909,Mato Grosso,2008
341,Muricilândia,2.49,1713957,Tocantins,2008
342,Alta Floresta D'Oeste,26.29,1100015,Rondônia,2008
343,Sorriso,2.77,5107925,Mato Grosso,2008
344,Inhangapi,1.09,1503408,Pará,2008
345,Bacabal,0.32,2101202,Maranhão,2008
346,Primavera,0.87,1506104,Pará,2008
347,Presidente Sarney,7.87,2109270,Maranhão,2008
348,Lagoa Grande do Maranhão,3.17,2105963,Maranhão,2008
349,Campestre do Maranhão,1.65,2102556,Maranhão,2008
350,Dom Pedro,6.48,2103802,Maranhão,2008
351,Itaguatins,1.53,1710706,Tocantins,2008
352,Nova Olinda do Maranhão,1.73,2107357,Maranhão,2008
353,Ananás,4.69,1701002,Tocantins,2008
354,Santa Luzia do Paruá,0.43,2110039,Maranhão,2008
355,Palmeirândia,0.09,2107605,Maranhão,2008
356,Nova Esperança do Piriá,16.34,1504950,Pará,2008
357,Alto Taquari,0.0,5100607,Mato Grosso,2008
358,Ji-Paraná,5.87,1100122,Rondônia,2008
359,Boa Vista do Ramos,0.35,1300680,Amazonas,2008
360,Carolina,0.0,2102804,Maranhão,2008
361,Japurá,1.49,1302108,Amazonas,2008
362,Santa Bárbara do Pará,1.34,1506351,Pará,2008
363,Monte do Carmo,0.0,1713601,Tocantins,2008
364,Prainha,71.38,1506005,Pará,2008
365,Tuntum,23.33,2112308,Maranhão,2008
366,Curuçá,2.28,1502905,Pará,2008
367,Taipas do Tocantins,0.0,1720937,Tocantins,2008
368,Itaipava do Grajaú,5.96,2105351,Maranhão,2008
369,Laranjal do Jari,9.13,1600279,Amapá,2008
370,Senador La Rocque,9.28,2111763,Maranhão,2008
371,Santa Luzia,38.1,2110005,Maranhão,2008
372,Santana do Araguaia,186.62,1506708,Pará,2008
373,Santo Antônio do Tauá,1.97,1507003,Pará,2008
374,Tasso Fragoso,0.0,2112001,Maranhão,2008
375,Porto Rico do Maranhão,0.0,2109056,Maranhão,2008
376,Silvanópolis,0.0,1720655,Tocantins,2008
377,Sítio Novo do Tocantins,0.73,1720804,Tocantins,2008
378,Santa Luzia do Pará,5.6,1506559,Pará,2008
379,Raposa,0.15,2109452,Maranhão,2008
380,Vila Rica,77.99,5108600,Mato Grosso,2008
381,Olinda Nova do Maranhão,0.0,2107456,Maranhão,2008
382,Presidente Vargas,7.48,2109304,Maranhão,2008
383,Bacurituba,0.0,2101350,Maranhão,2008
384,Gonçalves Dias,21.74,2104404,Maranhão,2008
385,São José de Ribamar,5.2,2111201,Maranhão,2008
386,Altamira do Maranhão,0.0,2100402,Maranhão,2008
387,Garrafão do Norte,8.28,1503077,Pará,2008
388,Fortuna,23.91,2104206,Maranhão,2008
389,São Caetano de Odivelas,3.67,1507102,Pará,2008
390,Machadinho D'Oeste,52.95,1100130,Rondônia,2008
391,Bequimão,0.28,2101905,Maranhão,2008
392,Rosário,12.16,2109601,Maranhão,2008
393,Capitão Poço,7.11,1502301,Pará,2008
394,Bujaru,5.61,1501907,Pará,2008
395,Monte Negro,6.61,1101401,Rondônia,2008
396,Rodrigues Alves,4.9,1200427,Acre,2008
397,Terra Santa,5.64,1507979,Pará,2008
398,Bacuri,0.96,2101301,Maranhão,2008
399,Santa Rita,22.07,2110203,Maranhão,2008
400,Capanema,4.02,1502202,Pará,2008
401,Presidente Dutra,5.48,2109106,Maranhão,2008
402,Santarém,30.86,1506807,Pará,2008
403,Melgaço,4.49,1504505,Pará,2008
404,Peixe-Boi,3.82,1505601,Pará,2008
405,Passagem Franca,0.0,2107902,Maranhão,2008
406,Juruena,40.5,5105176,Mato Grosso,2008
407,Anajás,0.0,1500701,Pará,2008
408,Buritis,20.6,1100452,Rondônia,2008
409,Dom Eliseu,53.27,1502939,Pará,2008
410,Senador José Porfírio,14.8,1507805,Pará,2008
411,Vargem Grande,4.34,2112704,Maranhão,2008
412,Rio da Conceição,0.0,1718659,Tocantins,2008
413,Itapecuru Mirim,85.51,2105401,Maranhão,2008
414,Loreto,0.0,2106102,Maranhão,2008
415,Benedito Leite,0.0,2101806,Maranhão,2008
416,Jacundá,6.0,1503804,Pará,2008
417,Porto Walter,6.67,1200393,Acre,2008
418,Abel Figueiredo,2.04,1500131,Pará,2008
419,Açailândia,53.77,2100055,Maranhão,2008
420,Itacoatiara,26.93,1301902,Amazonas,2008
421,São Miguel do Tocantins,1.65,1720200,Tocantins,2008
422,Bom Lugar,0.0,2102077,Maranhão,2008
423,Marianópolis do Tocantins,1.08,1712504,Tocantins,2008
424,Santa Inês,0.0,2109908,Maranhão,2008
425,Codó,23.27,2103307,Maranhão,2008
426,Carlinda,3.95,5102793,Mato Grosso,2008
427,Pindorama do Tocantins,0.0,1717008,Tocantins,2008
428,Alto Parnaíba,0.0,2100501,Maranhão,2008
429,Feliz Natal,223.95,5103700,Mato Grosso,2008
430,São Félix do Araguaia,210.33,5107859,Mato Grosso,2008
431,Pequizeiro,0.99,1716653,Tocantins,2008
432,Eldorado do Carajás,30.33,1502954,Pará,2008
433,Rio Crespo,7.24,1100262,Rondônia,2008
434,Brasiléia,12.66,1200104,Acre,2008
435,Tangará da Serra,4.63,5107958,Mato Grosso,2008
436,Fonte Boa,1.91,1301605,Amazonas,2008
437,São Miguel do Guamá,7.79,1507607,Pará,2008
438,Nova Ipixuna,11.22,1504976,Pará,2008
439,Filadélfia,0.0,1707702,Tocantins,2008
440,São Domingos do Azeitão,0.0,2110658,Maranhão,2008
441,Beruri,2.42,1300631,Amazonas,2008
442,Espigão D'Oeste,10.69,1100098,Rondônia,2008
443,Uiramutã,0.44,1400704,Roraima,2008
444,Esperantinópolis,0.01,2104008,Maranhão,2008
445,Apiacás,45.96,5100805,Mato Grosso,2008
446,Tupiratins,0.0,1721307,Tocantins,2008
447,Itanhangá,90.83,5104542,Mato Grosso,2008
448,Barreirinha,7.89,1300508,Amazonas,2008
449,Nobres,0.71,5105903,Mato Grosso,2008
450,São Luís,15.76,2111300,Maranhão,2008
451,Tucuruí,26.81,1508100,Pará,2008
452,Paranã,0.0,1716208,Tocantins,2008
453,Imperatriz,3.93,2105302,Maranhão,2008
454,Benevides,0.06,1501501,Pará,2008
455,São João do Carú,0.16,2111029,Maranhão,2008
456,Cariri do Tocantins,0.0,1703867,Tocantins,2008
457,Óbidos,41.32,1505106,Pará,2008
458,Cidelândia,9.85,2103257,Maranhão,2008
459,Xapuri,22.99,1200708,Acre,2008
460,Porto Acre,8.21,1200807,Acre,2008
461,Lavandeira,0.0,1712157,Tocantins,2008
462,Ponte Alta do Bom Jesus,0.0,1717800,Tocantins,2008
463,São Roberto,0.0,2111672,Maranhão,2008
464,Alto Alegre do Pindaré,4.02,2100477,Maranhão,2008
465,Sena Madureira,34.81,1200500,Acre,2008
466,Abreulândia,1.86,1700251,Tocantins,2008
467,Governador Luiz Rocha,17.23,2104628,Maranhão,2008
468,Pedreiras,0.36,2108207,Maranhão,2008
469,Xinguara,4.74,1508407,Pará,2008
470,Itapuã do Oeste,20.44,1101104,Rondônia,2008
471,São Sebastião da Boa Vista,0.0,1507706,Pará,2008
472,Presidente Médici,0.0,2109239,Maranhão,2008
473,São Francisco do Guaporé,44.92,1101492,Rondônia,2008
474,Fátima,0.0,1707553,Tocantins,2008
475,Paraibano,0.0,2107704,Maranhão,2008
476,Placas,85.71,1505650,Pará,2008
477,Vale do Paraíso,0.67,1101807,Rondônia,2008
478,Manoel Urbano,4.9,1200344,Acre,2008
479,Novo Progresso,235.91,1505031,Pará,2008
480,Montes Altos,1.69,2107001,Maranhão,2008
481,Chapada de Areia,0.0,1704600,Tocantins,2008
482,Vale do Anari,11.98,1101757,Rondônia,2008
483,Governador Edison Lobão,0.52,2104552,Maranhão,2008
484,Dueré,0.07,1707306,Tocantins,2008
485,Alenquer,39.56,1500404,Pará,2008
486,Mazagão,15.65,1600402,Amapá,2008
487,Curionópolis,4.69,1502772,Pará,2008
488,Tailândia,71.89,1507953,Pará,2008
489,Arapoema,0.0,1702307,Tocantins,2008
490,Rondolândia,18.24,5107578,Mato Grosso,2008
491,Buriticupu,57.05,2102325,Maranhão,2008
492,São Paulo de Olivença,0.29,1303908,Amazonas,2008
493,Cantá,121.31,1400175,Roraima,2008
494,Apicum-Açu,0.0,2100832,Maranhão,2008
495,Anamã,0.07,1300086,Amazonas,2008
496,Sucupira,0.0,1720853,Tocantins,2008
497,Presidente Médici,3.5,1100254,Rondônia,2008
498,Pacajá,259.12,1505486,Pará,2008
499,Paranatinga,91.53,5106307,Mato Grosso,2008
500,Pimenta Bueno,43.44,1100189,Rondônia,2008
501,Paço do Lumiar,3.15,2107506,Maranhão,2008
502,Aparecida do Rio Negro,0.0,1701101,Tocantins,2008
503,Matinha,0.51,2106508,Maranhão,2008
504,Ulianópolis,135.78,1508126,Pará,2008
505,Itupiranga,226.17,1503705,Pará,2008
506,Rio Preto da Eva,7.08,1303569,Amazonas,2008
507,Santa Rita do Trivelato,1.3,5107768,Mato Grosso,2008
