latitude,longitude,distancia_km,municipio,uf
-19.0089,-57.5973,349,Ladário,MS
-9.07124,-44.359,349,Bom Jesus,PI
-8.09629,-43.6705,348,Eliseu Martins,PI
-11.169,-61.8986,346,Presidente Médici,RO
-8.20314,-42.8229,346,Brejo do Piauí,PI
-8.35466,-42.2559,346,São João do Piauí,PI
-9.94912,-55.8417,346,Carlinda,MT
-8.01234,-43.8755,346,Manoel Emídio,PI
-2.87922,-52.0088,340,Vitória do Xingu,PA
-11.2175,-41.8843,338,São Gabriel,BA
-9.38647,-43.6943,338,Guaribas,PI
-11.3463,-62.2847,338,Alvorada D'Oeste,RO
-11.2923,-41.9843,337,Presidente Dutra,BA
-7.84903,-45.219,337,Baixa Grande do Ribeiro,PI
-1.798,-53.4779,337,Prainha,PA
-10.1821,-54.9467,336,Matupá,MT
-8.1111,-42.9517,336,Canto do Buriti,PI
-8.06807,-42.2847,336,Pedro Laurentino,PI
-11.1376,-42.1116,334,Central,BA
-11.3033,-41.8535,332,Irecê,BA
-10.2262,-54.9794,331,Peixoto de Azevedo,MT
-5.80462,-61.2895,330,Manicoré,AM
-2.79886,-57.0679,330,Barreirinha,AM
-7.55651,-45.2447,329,Ribeiro Gonçalves,PI
-6.65677,-69.8662,328,Eirunepé,AM
-12.9367,-51.8244,328,Ribeirão Cascalheira,MT
-11.3851,-41.8286,327,Lapão,BA
-11.3394,-42.1354,324,Uibaí,BA
-7.96059,-43.2284,322,Pavussu,PI
-21.6981,-57.8836,322,Porto Murtinho,MS
-15.286,-59.0683,320,Vale de São Domingos,MT
-10.8777,-61.9322,319,Ji-Paraná,RO
-29.7614,-57.0853,319,Uruguaiana,RS
-14.6771,-52.3502,316,Nova Xavantina,MT
-8.09707,-42.0471,315,Nova Santa Rita,PI
-18.3067,-51.9586,314,Serranópolis,GO
-3.46985,-51.2003,313,Anapu,PA
-11.1261,-62.3639,312,Urupá,RO
-7.08111,-45.1451,311,Loreto,MA
-11.5414,-41.9748,311,Ibititá,BA
-7.86773,-42.4922,311,Socorro do Piauí,PI
-10.312,-55.4061,310,Nova Guarita,MT
-12.9892,-58.7645,310,Sapezal,MT
-11.3486,-41.6548,310,João Dourado,BA
-7.63338,-43.9498,310,Bertolínia,PI
-11.0147,-42.3997,310,Itaguaçu da Bahia,BA
-11.0556,-51.8209,309,Canabrava do Norte,MT
-18.4073,-52.549,309,Chapadão do Céu,GO
-7.56803,-44.06,308,Sebastião Leal,PI
-10.7339,-41.3234,308,Umburanas,BA
-14.3903,-51.0001,308,Cocalinho,MT
-7.85508,-42.8248,307,Pajeú do Piauí,PI
-8.49655,-41.814,307,Capitão Gervásio Oliveira,PI
-13.2443,-53.0809,306,Gaúcha do Norte,MT
-7.68821,-43.7233,306,Canavieira,PI
-8.4662,-45.7536,305,Tasso Fragoso,MA
-7.77375,-42.2474,304,Paes Landim,PI
-8.38236,-41.8344,304,Campo Alegre do Fidalgo,PI
-11.6858,-41.7677,302,Canarana,BA
-7.78029,-43.1369,301,Rio Grande do Piauí,PI
-7.78793,-42.918,300,Flores do Piauí,PI
-10.9056,-62.242,300,Teixeirópolis,RO
-9.47937,-44.5811,300,Redenção do Gurguéia,PI
-15.3342,-58.8723,299,Jauru,MT
-11.6438,-42.0195,298,Ibipeba,BA
-10.6437,-51.5699,298,Confresa,MT
-9.44652,-70.4902,298,Santa Rosa do Purus,AC
-17.5258,-52.065,298,Perolândia,GO
-7.13447,-45.3515,296,Sambaíba,MA
-9.11228,-45.9116,296,Santa Filomena,PI
-10.8761,-51.6357,296,Porto Alegre do Norte,MT
-7.23944,-44.5577,295,Uruçuí,PI
