latitude,longitude,distancia_km,nv_2024,municipio,uf
-17.8241,-53.2792,209,157,Alto Taquari,MT
-6.50766,-41.5653,209,29,Lagoa do Sítio,PI
-6.60296,-44.0745,209,239,Pastos Bons,MA
-11.618,-47.0621,208,42,Porto Alegre do Tocantins,TO
-1.8032,-50.7149,208,516,Melgaço,PA
-11.0677,-40.432,208,108,Caém,BA
-3.12841,-58.1496,208,234,Urucurituba,AM
-10.349,-62.9043,208,51,Cacaulândia,RO
-16.4856,-52.6924,207,32,Ribeirãozinho,MT
-11.1812,-40.5117,207,1071,Jacobina,BA
-21.1261,-56.4836,207,401,Bonito,MS
-16.5833,-39.7847,207,154,Guaratinga,BA
-15.3188,-58.0046,207,58,Lambari D'Oeste,MT
-8.80755,-49.5569,207,72,Araguacema,TO
-11.624,-46.8198,207,263,Dianópolis,TO
-6.78285,-43.5594,206,113,Guadalupe,PI
-11.3949,-46.8847,206,31,Rio da Conceição,TO
-8.44116,-40.7662,205,213,Dormentes,PE
4.60314,-60.1815,205,622,Uiramutã,RR
-9.27612,-49.9521,205,85,Caseara,TO
-11.5075,-54.8835,205,145,Cláudia,MT
-5.36237,-45.6356,205,362,Jenipapo dos Vieiras,MA
-5.52552,-40.7713,204,293,Novo Oriente,CE
-17.0758,-41.4821,204,211,Padre Paraíso,MG
-11.8475,-40.7927,204,146,Tapiramutá,BA
-14.9446,-46.2371,204,80,Formoso,MG
-18.4096,-46.4165,204,133,Presidente Olegário,MG
-10.5712,-63.6266,204,93,Campo Novo de Rondônia,RO
-33.525,-53.3717,204,287,Santa Vitória do Palmar,RS
-8.83291,-69.2679,203,259,Manoel Urbano,AC
-19.1832,-51.3998,203,12,Lagoa Santa,GO
-7.36229,-41.1371,202,219,Jaicós,PI
-19.0037,-45.9626,202,58,Tiros,MG
-6.99491,-41.1288,202,77,Francisco Santos,PI
-1.68036,-50.4791,202,2515,Breves,PA
-6.47839,-44.1919,202,109,Sucupira do Norte,MA
-6.37454,-44.3683,201,291,Mirador,MA
-12.5616,-41.3928,201,90,Lençóis,BA
-16.652,-46.2597,201,48,Dom Bosco,MG
-16.5571,-41.5017,201,183,Itaobim,MG
-13.5079,-48.7417,201,33,Trombas,GO
-11.4299,-40.6031,201,247,Miguel Calmon,BA
-10.8653,-40.1311,201,282,Ponto Novo,BA
-16.5732,-39.5593,201,456,Itabela,BA
-12.2209,-47.2951,200,45,Conceição do Tocantins,TO
-8.7227,-47.2421,200,61,Recursolândia,TO
-11.0208,-40.2956,200,144,Caldeirão Grande,BA
-7.47469,-41.1103,200,51,Massapê do Piauí,PI
-3.39232,-42.2117,200,160,Magalhães de Almeida,MA
-4.13417,-45.1163,200,198,Olho d'Água das Cunhãs,MA
-16.6522,-41.0229,200,158,Joaíma,MG
-17.7872,-40.2453,200,63,Serra dos Aimorés,MG
